Timestamp,Open,High,Low,Close,Volume,CurrencyVolume,TradeAmount,Flag
1764179100000,2.2298,2.239,2.2275,2.2324,9534,953480,2129545.213,1
1764178200000,2.2148,2.2296,2.2115,2.2296,8271,827174,1837360.6572,1
1764177300000,2.1922,2.2163,2.1884,2.2145,9726,972656,2141491.4846,1
1764176400000,2.1901,2.1965,2.1893,2.1915,2229,222946,488870.7289,1
1764175500000,2.1889,2.1923,2.1814,2.1894,2904,290438,635078.6679,1
1764174600000,2.1877,2.1993,2.186,2.1889,2602,260283,570259.3912,1
1764173700000,2.1874,2.196,2.1862,2.1874,3696,369676,809533.812,1
1764172800000,2.1713,2.1891,2.171,2.1875,3934,393404,859402.7611,1
1764171900000,2.1636,2.171,2.1575,2.1708,3145,314511,680599.6463,1
1764171000000,2.1745,2.176,2.164,2.1644,6262,626226,1357587.7187,1
1764170100000,2.1596,2.1761,2.1531,2.1739,6348,634837,1374869.7891,1
1764169200000,2.1497,2.168,2.1493,2.1603,8452,845267,1823784.0441,1
1764168300000,2.1662,2.1796,2.1466,2.1504,5761,576171,1246526.5834,1
1764167400000,2.1674,2.177,2.1589,2.166,4029,402962,873294.8906,1
1764166500000,2.1697,2.1715,2.164,2.1677,1702,170262,369033.3814,1
1764165600000,2.1641,2.17,2.1552,2.1696,1791,179189,387535.6799,1
1764164700000,2.1611,2.1646,2.1574,2.1641,1877,187704,405656.8727,1
1764163800000,2.1552,2.1664,2.1494,2.1609,3694,369480,797411.8235,1
1764162900000,2.15,2.1598,2.1491,2.1562,2166,216678,466919.2159,1
1764162000000,2.1503,2.154,2.1429,2.15,2979,297925,640497.1287,1
1764161100000,2.1483,2.1543,2.1468,2.1506,1593,159342,342583.323,1
1764160200000,2.1525,2.1525,2.1468,2.1483,5046,504633,1085286.4506,1
1764159300000,2.15,2.1564,2.145,2.1531,7881,788167,1695623.224,1
1764158400000,2.1697,2.1753,2.1501,2.1503,6601,660194,1426691.3502,1
1764157500000,2.1715,2.1743,2.1678,2.1698,1148,114865,249253.0543,1
1764156600000,2.1704,2.1734,2.1676,2.1711,1132,113268,245776.7669,1
1764155700000,2.172,2.1735,2.1681,2.17,855,85532,185650.36,1
1764154800000,2.1721,2.1748,2.1685,2.1716,1927,192755,418392.4955,1
1764153900000,2.1734,2.1766,2.1718,2.1722,1026,102684,223302.8504,1
1764153000000,2.1795,2.1796,2.1678,2.1734,3215,321579,698403.0423,1
1764152100000,2.1793,2.1798,2.1741,2.1794,1408,140892,306676.7398,1
1764151200000,2.1776,2.1844,2.1773,2.1801,1938,193845,422700.8656,1
